,ID,Reason_absence,Month_absence,Day_week,Seasons,Transportation_expense,Distance_Residence_Work,Service_time,Age,Work_load_Average_day,Hit_target,Disciplinary_failure,Education,Son,Social_drinker,Social_smoker,Pet,Weight,Height,Body_mass_index,Absenteeism_hours
0,14,11,11,2,4,155,12,14,34,284.031,97,0,1,2,1,0,0,95,196,25,120
1,36,13,4,4,3,118,13,18,50,239.409,98,0,1,1,1,0,0,98,178,31,120
2,9,6,7,3,1,228,14,16,58,264.604,93,0,1,2,0,0,1,65,172,22,120
3,28,9,7,3,1,225,26,9,28,230.29,92,0,1,1,0,0,2,69,169,24,112
4,9,12,3,3,2,228,14,16,58,222.196,99,0,1,2,0,0,1,65,172,22,112
5,11,19,3,2,3,289,36,13,33,222.196,99,0,1,2,1,0,1,90,172,30,104
6,36,13,6,4,3,118,13,18,50,377.55,94,0,1,1,1,0,0,98,178,31,80
7,14,18,12,3,2,155,12,14,34,280.549,98,0,1,2,1,0,0,95,196,25,80
8,13,13,7,2,1,369,17,12,31,264.604,93,0,1,3,1,0,0,70,169,25,80
9,34,19,12,3,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,64
10,22,1,10,4,4,179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19,64
11,26,19,5,6,3,300,26,13,43,237.656,99,0,1,2,1,1,1,77,175,25,64
12,34,19,12,3,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,56
13,20,19,4,6,3,260,50,11,36,326.452,96,0,1,4,1,0,0,65,168,23,56
14,14,10,5,2,3,155,12,14,34,237.656,99,0,1,2,1,0,0,95,196,25,48
15,14,19,7,2,1,155,12,14,34,239.554,97,0,1,2,1,0,0,95,196,25,40
16,10,13,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,40
17,15,14,11,2,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25,40
18,20,13,3,6,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,40
19,17,11,3,2,2,179,22,17,40,343.253,95,0,2,2,0,1,0,63,170,22,40
20,15,7,9,2,4,291,31,12,40,294.217,81,0,1,1,1,0,1,73,171,25,40
21,15,13,6,2,3,291,31,12,40,253.957,95,0,1,1,1,0,1,73,171,25,40
22,15,14,9,2,4,291,31,12,40,241.476,92,0,1,1,1,0,1,73,171,25,32
23,14,10,11,2,4,155,12,14,34,306.345,93,0,1,2,1,0,0,95,196,25,32
24,11,19,7,2,1,289,36,13,33,275.312,98,0,1,2,1,0,1,90,172,30,32
25,24,9,9,4,1,246,25,16,41,294.217,81,0,1,0,1,0,0,67,170,23,32
26,34,19,1,2,2,118,10,10,37,330.061,100,0,1,0,0,0,0,83,172,28,32
27,3,13,12,3,4,179,51,18,38,280.549,98,0,1,0,1,0,0,89,170,31,32
28,11,7,11,4,4,289,36,13,33,306.345,93,0,1,2,1,0,1,90,172,30,24
29,3,13,3,3,2,179,51,18,38,343.253,95,0,1,0,1,0,0,89,170,31,24
30,24,13,4,4,3,246,25,16,41,326.452,96,0,1,0,1,0,0,67,170,23,24
31,3,13,4,4,3,179,51,18,38,326.452,96,0,1,0,1,0,0,89,170,31,24
32,14,12,4,4,3,155,12,14,34,326.452,96,0,1,2,1,0,0,95,196,25,24
33,11,13,5,4,3,289,36,13,33,378.884,92,0,1,2,1,0,1,90,172,30,24
34,36,13,5,4,3,118,13,18,50,378.884,92,0,1,1,1,0,0,98,178,31,24
35,24,10,6,3,3,246,25,16,41,377.55,94,0,1,0,1,0,0,67,170,23,24
36,11,19,9,4,1,289,36,13,33,294.217,81,0,1,2,1,0,1,90,172,30,24
37,24,10,2,6,2,246,25,16,41,251.818,96,0,1,0,1,0,0,67,170,23,24
38,3,28,6,2,3,179,51,18,38,253.957,95,0,1,0,1,0,0,89,170,31,24
39,18,2,11,4,4,330,16,4,28,268.519,93,0,2,0,0,0,0,84,182,25,24
40,22,12,1,2,2,179,26,9,30,313.532,96,0,3,0,0,0,0,56,171,19,24
41,14,13,3,4,3,155,12,14,34,222.196,99,0,1,2,1,0,0,95,196,25,24
42,13,7,4,2,3,369,17,12,31,246.288,91,0,1,3,1,0,0,70,169,25,24
43,36,19,6,5,3,118,13,18,50,275.089,96,0,1,1,1,0,0,98,178,31,24
44,20,19,10,5,4,260,50,11,36,253.465,93,0,1,4,1,0,0,65,168,23,16
45,14,1,3,2,2,155,12,14,34,343.253,95,0,1,2,1,0,0,95,196,25,16
46,20,26,3,2,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,16
47,28,11,3,4,3,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,16
48,7,14,3,5,3,279,5,14,39,343.253,95,0,1,2,1,1,0,68,168,24,16
49,11,13,4,5,3,289,36,13,33,326.452,96,0,1,2,1,0,1,90,172,30,16
50,1,13,6,6,3,235,11,14,37,377.55,94,0,3,1,0,0,1,88,172,29,16
51,14,19,7,3,1,155,12,14,34,275.312,98,0,1,2,1,0,0,95,196,25,16
52,24,9,9,2,1,246,25,16,41,294.217,81,0,1,0,1,0,0,67,170,23,16
53,11,19,10,5,4,289,36,13,33,265.017,88,0,1,2,1,0,1,90,172,30,16
54,22,23,10,5,4,179,26,9,30,265.017,88,0,3,0,0,0,0,56,171,19,16
55,30,11,2,4,2,157,27,6,29,251.818,96,0,1,0,1,1,0,75,185,22,16
56,24,19,3,4,2,246,25,16,41,244.387,98,0,1,0,1,0,0,67,170,23,16
57,3,28,3,2,2,179,51,18,38,244.387,98,0,1,0,1,0,0,89,170,31,16
58,5,13,5,2,3,235,20,13,43,246.074,99,0,1,1,1,0,0,106,167,38,16
59,18,23,8,5,1,330,16,4,28,249.797,93,0,2,0,0,0,0,84,182,25,16
60,22,13,12,3,4,179,26,9,30,280.549,98,0,3,0,0,0,0,56,171,19,16
61,22,12,1,5,2,179,26,9,30,313.532,96,0,3,0,0,0,0,56,171,19,16
62,6,22,7,3,1,189,29,13,33,264.604,93,0,1,2,0,0,2,69,167,25,16
63,10,22,7,6,1,361,52,3,28,239.554,97,0,1,1,1,0,4,80,172,27,8
64,1,22,7,2,1,235,11,14,37,239.554,97,0,3,1,0,0,1,88,172,29,8
65,20,1,7,2,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8
66,20,1,7,3,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8
67,20,11,7,4,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8
68,24,14,7,6,1,246,25,16,41,239.554,97,0,1,0,1,0,0,67,170,23,8
69,3,21,7,2,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,8
70,6,11,7,5,1,189,29,13,33,239.554,97,0,1,2,0,0,2,69,167,25,8
71,18,10,8,4,1,330,16,4,28,205.917,92,0,2,0,0,0,0,84,182,25,8
72,11,18,8,2,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8
73,11,18,8,4,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8
74,3,18,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,8
75,2,18,8,5,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,8
76,2,18,8,2,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,8
77,11,24,8,3,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8
78,2,28,8,6,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,8
79,5,19,9,3,1,235,20,13,43,241.476,92,0,1,1,1,0,0,106,167,38,8
80,20,22,9,6,1,260,50,11,36,241.476,92,0,1,4,1,0,0,65,168,23,8
81,3,23,10,4,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31,8
82,15,14,10,3,4,291,31,12,40,253.465,93,0,1,1,1,0,1,73,171,25,8
83,11,26,10,4,4,289,36,13,33,253.465,93,0,1,2,1,0,1,90,172,30,8
84,3,13,11,5,4,179,51,18,38,306.345,93,0,1,0,1,0,0,89,170,31,8
85,17,21,11,5,4,179,22,17,40,306.345,93,0,2,2,0,1,0,63,170,22,8
86,6,22,11,2,4,189,29,13,33,306.345,93,0,1,2,0,0,2,69,167,25,8
87,14,6,11,6,4,155,12,14,34,306.345,93,0,1,2,1,0,0,95,196,25,8
88,17,21,11,4,4,179,22,17,40,306.345,93,0,2,2,0,1,0,63,170,22,8
89,1,26,12,4,4,235,11,14,37,261.306,97,0,3,1,0,0,1,88,172,29,8
90,20,26,12,6,4,260,50,11,36,261.306,97,0,1,4,1,0,0,65,168,23,8
