,ID,Reason_absence,Month_absence,Day_week,Seasons,Work_load_Average_day,Hit_target,Disciplinary_failure,Absenteeism_hours
0,1,18,11,4,4,"284,031",97,0,1
1,1,13,1,3,2,"330,061",100,0,1
2,1,13,6,6,3,"377,55",94,0,16
3,1,11,7,3,1,"264,604",93,0,4
4,1,0,3,5,3,"244,387",98,1,0
5,1,14,12,3,2,"236,629",93,0,4
6,1,23,12,2,4,"236,629",93,0,3
7,1,22,4,6,3,"246,288",91,0,8
8,1,21,3,5,2,"244,387",98,0,8
9,1,26,10,2,4,"265,017",88,0,4
10,1,13,6,3,1,"253,957",95,0,8
11,1,22,5,2,3,"237,656",99,0,8
12,1,7,4,6,3,"326,452",96,0,3
13,1,25,11,5,4,"284,031",97,0,2
14,1,22,7,2,1,"239,554",97,0,8
15,1,25,12,5,4,"236,629",93,0,2
16,1,22,3,2,2,"244,387",98,0,8
17,1,1,5,2,3,"246,074",99,0,8
18,1,23,8,3,1,"249,797",93,0,4
19,1,23,8,3,1,"265,615",94,0,1
20,1,23,8,5,1,"205,917",92,0,4
21,1,19,8,5,1,"265,615",94,0,8
22,1,26,12,4,4,"261,306",97,0,8
23,2,18,8,2,1,"205,917",92,0,8
24,2,0,4,2,3,"326,452",96,1,0
25,2,28,8,6,1,"205,917",92,0,8
26,2,0,6,2,3,"275,089",96,1,0
27,2,23,7,2,1,"230,29",92,0,1
28,2,18,8,5,1,"205,917",92,0,8
29,3,27,1,4,2,"313,532",96,0,3
30,3,27,1,5,2,"313,532",96,0,3
31,3,27,3,4,3,"222,196",99,0,3
32,3,27,2,4,2,"264,249",97,0,3
33,3,27,2,5,2,"264,249",97,0,3
34,3,28,10,4,4,"265,017",88,0,1
35,3,28,1,4,2,"330,061",100,0,1
36,3,13,11,5,4,"306,345",93,0,8
37,3,27,3,5,2,"222,196",99,0,3
38,3,11,2,4,2,"302,585",99,0,8
39,3,27,2,6,2,"264,249",97,0,3
40,3,5,6,4,1,"253,957",95,0,8
41,3,27,3,3,3,"222,196",99,0,3
42,3,27,3,6,2,"222,196",99,0,3
43,3,28,10,4,4,"284,853",91,0,3
44,3,10,3,2,2,"222,196",99,0,4
45,3,27,3,2,2,"222,196",99,0,3
46,3,28,1,6,2,"330,061",100,0,1
47,3,23,11,5,4,"306,345",93,0,1
48,3,18,5,3,3,"378,884",92,0,8
49,3,27,2,2,2,"251,818",96,0,3
50,3,28,11,3,4,"284,031",97,0,1
51,3,6,11,3,4,"284,031",97,0,8
52,3,23,11,5,4,"284,031",97,0,1
53,3,28,12,2,4,"236,629",93,0,1
54,3,23,9,5,1,"294,217",81,0,1
55,3,23,10,6,4,"253,465",93,0,3
56,3,13,9,2,4,"294,217",81,0,8
57,3,13,9,4,1,"294,217",81,0,8
58,3,11,9,2,1,"294,217",81,0,8
59,3,28,12,5,4,"236,629",93,0,1
60,3,13,3,4,3,"343,253",95,0,3
61,3,10,2,5,2,"251,818",96,0,8
62,3,23,10,3,4,"253,465",93,0,3
63,3,28,6,2,3,"253,957",95,0,3
64,3,26,7,5,1,"275,312",98,0,8
65,3,23,9,4,4,"241,476",92,0,3
66,3,12,5,3,3,"378,884",92,0,1
67,3,23,9,6,1,"294,217",81,0,3
68,3,28,12,6,4,"236,629",93,0,1
69,3,28,11,5,4,"284,031",97,0,3
70,3,11,6,2,3,"377,55",94,0,8
71,3,28,12,2,2,"236,629",93,0,3
72,3,28,3,6,3,"244,387",98,0,8
73,3,27,2,4,2,"251,818",96,0,3
74,3,23,9,3,1,"241,476",92,0,3
75,3,28,4,4,3,"239,409",98,0,8
76,3,23,2,6,2,"251,818",96,0,3
77,3,27,2,6,2,"251,818",96,0,3
78,3,23,9,6,4,"241,476",92,0,3
79,3,27,3,5,3,"222,196",99,0,3
80,3,11,5,3,3,"378,884",92,0,1
81,3,27,2,3,2,"264,249",97,0,2
82,3,27,3,3,2,"222,196",99,0,2
83,3,27,3,4,2,"222,196",99,0,2
84,3,13,2,5,2,"264,249",97,0,8
85,3,27,3,2,2,"222,196",99,0,2
86,3,13,3,3,2,"222,196",99,0,8
87,3,28,6,2,3,"253,957",95,0,24
88,3,28,7,3,1,"230,29",92,0,1
89,3,28,4,4,3,"239,409",98,0,4
90,3,11,6,6,3,"377,55",94,0,2
91,3,13,4,4,3,"326,452",96,0,24
92,3,27,2,2,2,"264,249",97,0,2
93,3,13,3,3,2,"343,253",95,0,24
