,ID,Age,Education,Son,Pet,Weight,Height,Body_mass_index,Social_drinker,Social_smoker
0,1,37,3,1,1,88,172,29,0,0
1,2,48,1,1,5,88,163,33,0,1
2,3,38,1,0,0,89,170,31,1,0
3,4,40,1,1,8,98,170,34,1,0
4,5,43,1,1,0,106,167,38,1,0
5,6,33,1,2,2,69,167,25,0,0
6,7,39,1,2,0,68,168,24,1,1
7,8,39,1,2,2,100,170,35,1,0
8,9,58,1,2,1,65,172,22,0,0
9,10,28,1,1,4,80,172,27,1,0
10,11,33,1,2,1,90,172,30,1,0
11,12,31,2,1,8,68,178,21,1,0
12,13,31,1,3,0,70,169,25,1,0
13,14,34,1,2,0,95,196,25,1,0
14,15,40,1,1,1,73,171,25,1,0
15,16,46,1,2,0,75,175,25,1,1
16,17,40,2,2,0,63,170,22,0,1
17,18,28,2,0,0,84,182,25,0,0
18,19,32,1,0,0,65,169,23,1,0
19,20,36,1,4,0,65,168,23,1,0
20,21,33,2,0,0,79,178,25,0,0
21,22,30,3,0,0,56,171,19,0,0
22,23,36,1,2,4,65,174,21,0,1
23,24,41,1,0,0,67,170,23,1,0
24,25,32,3,0,0,75,178,25,0,0
25,26,43,1,2,1,77,175,25,1,1
26,27,27,1,0,0,58,167,21,0,0
27,28,28,1,1,2,69,169,24,0,0
28,29,41,4,2,2,94,182,28,1,0
29,30,29,1,0,0,75,185,22,1,1
30,31,50,1,0,0,76,178,24,0,0
31,32,49,1,0,2,108,172,36,0,0
32,33,47,1,2,1,86,165,32,0,0
33,34,37,1,0,0,83,172,28,0,0
34,35,53,1,1,1,77,175,25,0,0
35,36,50,1,1,0,98,178,31,1,0
36,37,28,1,1,2,69,169,24,0,0
37,38,47,1,2,1,86,165,32,0,0
38,39,37,1,0,0,83,172,28,0,0
39,40,28,1,1,4,80,172,27,1,0
40,41,38,1,0,0,89,170,31,1,0
41,42,40,1,1,1,73,171,25,1,0
42,43,43,1,1,0,106,167,38,1,0
43,44,50,1,1,0,98,178,31,1,0
44,45,28,1,1,2,69,169,24,0,0
45,46,28,1,1,2,69,169,24,0,0
46,47,29,1,0,0,75,185,22,1,1
47,48,28,2,0,0,84,182,25,0,0
48,49,37,1,0,0,83,172,28,0,0
49,50,38,1,0,0,89,170,31,1,0
50,51,28,1,1,2,69,169,24,0,0
51,52,34,1,2,0,95,196,25,1,0
52,53,37,1,0,0,83,172,28,0,0
53,54,33,1,2,1,90,172,30,1,0
54,55,43,1,2,1,77,175,25,1,1
55,56,30,3,0,0,56,171,19,0,0
56,57,48,1,1,5,88,163,33,0,1
57,58,41,1,0,0,67,170,23,1,0
58,59,30,3,0,0,56,171,19,0,0
59,60,40,1,1,1,73,171,25,1,0
60,61,36,1,4,0,65,168,23,1,0
61,62,40,2,2,0,63,170,22,0,1
62,63,36,1,2,4,65,174,21,0,1
63,64,28,1,1,2,69,169,24,0,0
64,65,38,1,0,0,89,170,31,1,0
65,66,30,3,0,0,56,171,19,0,0
66,67,28,1,1,2,69,169,24,0,0
67,68,36,1,4,0,65,168,23,1,0
68,69,38,1,0,0,89,170,31,1,0
69,70,37,1,0,0,83,172,28,0,0
70,71,38,1,0,0,89,170,31,1,0
71,72,37,1,0,0,83,172,28,0,0
72,73,50,1,1,0,98,178,31,1,0
73,74,47,1,2,1,86,165,32,0,0
74,75,30,3,0,0,56,171,19,0,0
75,76,37,3,1,1,88,172,29,0,0
76,77,41,4,2,2,94,182,28,1,0
77,78,50,1,0,0,76,178,24,0,0
78,79,40,1,1,1,73,171,25,1,0
79,80,28,1,1,2,69,169,24,0,0
80,81,31,1,3,0,70,169,25,1,0
81,82,33,1,2,2,69,167,25,0,0
82,83,37,3,1,1,88,172,29,0,0
