,ID,Service_time,Distance_Residence_Work,Transportation_expense
0,1,14,11,235
1,2,12,29,235
2,3,18,51,179
3,4,13,14,118
4,5,13,20,235
5,6,13,29,189
6,7,14,5,279
7,8,14,35,231
8,9,16,14,228
9,10,3,52,361
10,11,13,36,289
11,12,1,51,233
12,13,12,17,369
13,14,14,12,155
14,15,12,31,291
15,16,24,15,118
16,17,17,22,179
17,18,4,16,330
18,19,12,50,291
19,20,11,50,260
20,21,8,11,268
21,22,9,26,179
22,23,11,49,378
23,24,16,25,246
24,25,8,16,235
25,26,13,26,300
26,27,7,42,184
27,28,9,26,225
28,29,15,15,225
29,30,6,27,157
30,31,9,15,388
31,32,29,48,289
32,33,14,25,248
33,34,10,10,118
34,35,14,45,179
35,36,18,13,118
36,37,9,26,225
37,38,14,25,248
38,39,10,10,118
39,40,3,52,361
40,41,18,51,179
41,42,12,31,291
42,43,13,20,235
43,44,18,13,118
44,45,9,26,225
45,46,9,26,225
46,47,6,27,157
47,48,4,16,330
48,49,10,10,118
49,50,18,51,179
50,51,9,26,225
51,52,14,12,155
52,53,10,10,118
53,54,13,36,289
54,55,13,26,300
55,56,9,26,179
56,57,12,29,235
57,58,16,25,246
58,59,9,26,179
59,60,12,31,291
60,61,11,50,260
61,62,17,22,179
62,63,11,49,378
63,64,9,26,225
64,65,18,51,179
65,66,9,26,179
66,67,9,26,225
67,68,11,50,260
68,69,18,51,179
69,70,10,10,118
70,71,18,51,179
71,72,10,10,118
72,73,18,13,118
73,74,14,25,248
74,75,9,26,179
75,76,14,11,235
76,77,15,15,225
77,78,9,15,388
78,79,12,31,291
79,80,9,26,225
80,81,12,17,369
81,82,13,29,189
82,83,14,11,235
83,84,13,20,235
84,85,13,36,289
85,86,11,50,260
86,87,16,25,246
87,88,13,36,289
88,89,9,26,225
89,90,9,26,179
90,91,13,20,235
91,92,13,29,189
92,93,18,13,118
93,94,18,51,179
94,95,11,50,260
95,96,16,25,246
96,97,9,26,179
97,98,12,31,291
98,99,13,20,235
99,100,1,51,233
100,101,16,25,246
101,102,14,25,248
102,103,12,17,369
103,104,9,26,179
104,105,13,36,289
105,106,18,51,179
106,107,9,26,225
107,108,10,10,118
108,109,9,26,225
109,110,11,49,378
110,111,10,10,118
111,112,11,49,378
112,113,11,50,260
113,114,12,17,369
114,115,3,52,361
115,116,9,26,179
116,117,18,51,179
117,118,11,50,260
118,119,11,50,260
119,120,9,26,225
120,121,14,11,235
121,122,10,10,118
122,123,8,16,235
123,124,9,26,225
124,125,18,51,179
125,126,16,25,246
126,127,18,51,179
127,128,10,10,118
128,129,18,51,179
129,130,12,29,235
130,131,9,26,179
131,132,13,36,289
132,133,13,14,118
133,134,10,10,118
134,135,9,26,225
135,136,10,10,118
136,137,9,26,225
